userName,content,score,at
Eva simangunsong,"kok bku BCA ku , minta masukin no handphone dah saya masukin no hp , tapi gak dikirim2 otpnya apa karna hari Minggu ? jadi gak dikirim otpny knp bisa begitu",5,2025-04-13 11:15:10
Misnawati Dewi,keren,5,2025-04-13 08:58:05
Anan Rusmana,blu digital bca mantaap lach,5,2025-04-13 07:32:30
Cece Cici,"sekarang sesama BCA jadi ada admin nya ga recommend👎🏻 nasabah udah happy sesama BCA tanpa admin membantu transfer, terus buat apa bikin BLU BCA DIGITAL. KARTU BLU BCA aku coba cek saldo lewat ATM BCA bukan aplikasi (BAYAR ADMIN 2.000) Kok Lucu banget. SEMUA AJA DI KASIH ADMIN BUAT APA KARTU BLU BCA beli 50.000 GA BISA BUAT SETOR & TARIK TUNAI !",1,2025-04-13 02:09:11
Zaink Innocence,aplikasi berat min 😭,2,2025-04-12 14:10:12
Nandes Ka,"nyesel naruh duit disini. udh apk lemot, banyak pop up yg gk bisa di ilangin, tf jadi lama yg harusnya sat set ini 1 jam gk kelar-kelar. anj emang. auto pindah semua",1,2025-04-12 08:41:22
Kanaria __,"Aplikasi sudah bagus, buka rekening baru simpel banget, potongan bank minim, promo banyak, cuma menurut saya ada 1 kekurangan, ketika mau isi Saldo Dana, tidak muncul Nama penerima saldo dana, seharusnya biar mempermudah pengirim untuk mengidentifikasi saldo penerima dana, harusnya nama penerima muncul saat sudah memasukan nomor penerima, seperti di aplikasi bank sebelah. Semoga cepat ditingkatkan",5,2025-04-12 06:35:01
Edukasi Asuransi,"kenapa sekarang makin sering gangguan ini aplikasi, beberapa kali transaksi qris sering gagal. dan pengembalian dananya lama. untuk transfer virtual akun ga support untuk ke beberapa marketplace, atau ke beberapa dompet digital. mulai mikir balik ke BCA konven aja ini",3,2025-04-12 05:56:24
rama jaya,keren dan sangat mudah di gunakan mantap Blu,5,2025-04-12 03:59:52
iyoes tsp,"lumayan bagus fitur-fitur transaksinya, mendukung bebas admin transfer",4,2025-04-12 03:35:23
Ahmad Fahmy Ghifariel Akbar,"aplikasi nya baik, cuman animasi setiap halaman nya cukup lama dan itu mengganggu",4,2025-04-12 00:41:50
Sandi Asoka,bagus,5,2025-04-11 23:03:45
muhamad tri panunggal,terbaik,5,2025-04-11 22:24:23
Adev My,"ini aplikasi berat banget sumpah kayak aplikasi benchmark, tlong sekelas BCA optimalkan lgi app nya",2,2025-04-11 15:01:29
Abdul azis Gunawan,keren bgt🔥🔥🔥,5,2025-04-11 14:11:35
SUWARTONO TONO,Digital blu accaunt bagus,5,2025-04-11 14:03:23
Oki Kcn,Jangan pake aplikasinya Minta refund aja susahnya minta ampun,1,2025-04-11 13:17:00
Welly Clubbers,"Fitur sudah bagus memudahkan utk buka rek baru maupun transaksi, tapi utk setor tunai maupun terima dana kena biaya admin apalagi dari sesama BCA maupun pembelian secara online kena biaya admin lumayan gede. Mungkin ada inovasi lagi utk bank digital dgn promo bebas admin atau diskon biaya admin.. Trimks",5,2025-04-11 12:58:16
Vania Joey Kaylyn,aplikasinya sudah sangat baguss apalagi bisa buat pocket pocket untuk tabungan. bs di pisah pisah gitu uang tabungan nya. tapi disini fitur untuk top up shopee pay suka hilang. jadi tolong di beneri supaya fitur nya ada terus/permanen,5,2025-04-11 12:34:48
Hanan Mashuri,Kedepannya login aplikasi maupun transaksi lebih cepat terus perbaiki sistemnya..,1,2025-04-11 11:44:21
Ulfah Nurwanti,"aplikasi terasa berat, terkadang force closed.",3,2025-04-11 06:31:35
Almacinta 0404,"saya ingin membuka a pk blue tapi lemot bngett sudah berkali"" di buka sama saja",1,2025-04-11 05:58:19
zahirah mahdiah,rese verifikasi mukanya susah,1,2025-04-11 05:24:09
Jahrawi Jahrawi,kalo dapet nanti saya kasi 5,4,2025-04-10 23:32:45
