userName,score,content
Heri GamerZ卐,5,"sudah cukup untuk kebutuhan nabung dan transaksi sehari-hari, dan juga kartu debit virtual ini sangat membantu untuk belanja online 😚"
Ramadhani Wisnu Habibullah,5,apk nya di buat ringan aja dong kaya mbanking nya BCA biar fungsinya ga lambat atau delay lama waktu mau bayar nungguin animasinya lama banget sampai antri 😔🙏
Eva simangunsong,5,"kok bku BCA ku , minta masukin no handphone dah saya masukin no hp , tapi gak dikirim2 otpnya apa karna hari Minggu ? jadi gak dikirim otpny knp bisa begitu"
Misnawati Dewi,5,keren
Anan Rusmana,5,blu digital bca mantaap lach
Cece Cici,1,"sekarang sesama BCA jadi ada admin nya ga recommend👎🏻 nasabah udah happy sesama BCA tanpa admin membantu transfer, terus buat apa bikin BLU BCA DIGITAL. KARTU BLU BCA aku coba cek saldo lewat ATM BCA bukan aplikasi (BAYAR ADMIN 2.000) Kok Lucu banget. SEMUA AJA DI KASIH ADMIN BUAT APA KARTU BLU BCA beli 50.000 GA BISA BUAT SETOR & TARIK TUNAI !"
Zaink Innocence,2,aplikasi berat min 😭
Nandes Ka,1,"nyesel naruh duit disini. udh apk lemot, banyak pop up yg gk bisa di ilangin, tf jadi lama yg harusnya sat set ini 1 jam gk kelar-kelar. anj emang. auto pindah semua"
Kanaria __,5,"Aplikasi sudah bagus, buka rekening baru simpel banget, potongan bank minim, promo banyak, cuma menurut saya ada 1 kekurangan, ketika mau isi Saldo Dana, tidak muncul Nama penerima saldo dana, seharusnya biar mempermudah pengirim untuk mengidentifikasi saldo penerima dana, harusnya nama penerima muncul saat sudah memasukan nomor penerima, seperti di aplikasi bank sebelah. Semoga cepat ditingkatkan"
Edukasi Asuransi,3,"kenapa sekarang makin sering gangguan ini aplikasi, beberapa kali transaksi qris sering gagal. dan pengembalian dananya lama. untuk transfer virtual akun ga support untuk ke beberapa marketplace, atau ke beberapa dompet digital. mulai mikir balik ke BCA konven aja ini"
rama jaya,5,keren dan sangat mudah di gunakan mantap Blu
iyoes tsp,4,"lumayan bagus fitur-fitur transaksinya, mendukung bebas admin transfer"
Ahmad Fahmy Ghifariel Akbar,4,"aplikasi nya baik, cuman animasi setiap halaman nya cukup lama dan itu mengganggu"
Sandi Asoka,5,bagus
muhamad tri panunggal,5,terbaik
Adev My,2,"ini aplikasi berat banget sumpah kayak aplikasi benchmark, tlong sekelas BCA optimalkan lgi app nya"
Abdul azis Gunawan,5,keren bgt🔥🔥🔥
SUWARTONO TONO,5,Digital blu accaunt bagus
Oki Kcn,1,Jangan pake aplikasinya Minta refund aja susahnya minta ampun
